Retailer Code,Retailer Name,Door Code,Door Name,Door Zip Code,Year,Week,UPC,SKU Descreption,POS Units,POS Amount
PJC,JEAN-COUTU,213322,PHCIE J.COUTU #068,H3H 1L9,2018,202018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,2.0,
PJC,JEAN-COUTU,238719,PHCIE J.COUTU #368,J6Y 1K6,2018,202018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,210569,PHCIE J.COUTU #133,J1X 2R9,2018,192018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,211183,PHCIE J.COUTU #184,G6P 4T2,2018,192018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,2.0,
PJC,JEAN-COUTU,211769,PHCIE J.COUTU #194,H7L 4V6,2018,192018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,210909,PHCIE J.COUTU #053,J7R 4Z3,2018,182018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,220568,PHCIE J.COUTU #272,J6E 4S6,2018,192018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,211769,PHCIE J.COUTU #194,H7L 4V6,2018,222018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,214651,PHCIE J.COUTU #039,J3V 1P8,2018,222018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
PJC,JEAN-COUTU,213322,PHCIE J.COUTU #068,H3H 1L9,2018,222018,3614271990464,BIOTH WINTER AQS HS RESCUE POUCH 2018OS,1.0,
SEP,SEPHORA CANADA,229840,SEPHORA #516 NEWMARKET,L3Y 4Z1,2018,192018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,-1.0,
SEP,SEPHORA CANADA,229843,SEPHORA #520 ST-BRUNO,J3V 5K1,2018,192018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
